task,graph,graph_adj,graph_nl,nodes,num_nodes,num_edges,directed,question,answer,id
euler_path,"[(<1>, <4>), (<1>, <2>), (<4>, <1>), (<4>, <3>), (<4>, <2>), (<2>, <4>), (<2>, <3>), (<3>, <1>), (<3>, <4>), (<3>, <5>), (<5>, <4>), (<0>, <3>)]","{<1>: [<4>, <2>],
<4>: [<1>, <3>, <2>],
<2>: [<4>, <3>],
<3>: [<1>, <4>, <5>],
<5>: [<4>],
<0>: [<3>]}","Node <1> is connected to nodes <4>, <2>.
Node <4> is connected to nodes <1>, <3>, <2>.
Node <2> is connected to nodes <4>, <3>.
Node <3> is connected to nodes <1>, <4>, <5>.
Node <5> is connected to node <4>.
Node <0> is connected to node <3>.","[<0>, <1>, <2>, <3>, <4>, <5>]",6,12,True,"Find a Euler path in this graph. An Euler path in a graph is a path that traverses each edge exactly once, but not necessarily every node. The starting node and ending node may be different. ","[<0>, <3>, <4>, <3>, <5>, <4>, <1>, <2>, <4>, <2>, <3>, <1>, <4>]",13
euler_path,"[(<2>, <1>), (<2>, <0>), (<2>, <4>), (<1>, <2>), (<1>, <3>), (<0>, <1>), (<0>, <4>), (<4>, <2>), (<3>, <2>), (<3>, <0>)]","{<2>: [<1>, <0>, <4>],
<1>: [<2>, <3>],
<0>: [<1>, <4>],
<4>: [<2>],
<3>: [<2>, <0>]}","Node <2> is connected to nodes <1>, <0>, <4>.
Node <1> is connected to nodes <2>, <3>.
Node <0> is connected to nodes <1>, <4>.
Node <4> is connected to node <2>.
Node <3> is connected to nodes <2>, <0>.","[<0>, <1>, <2>, <3>, <4>]",5,10,True,"Find a Euler path in this graph. An Euler path in a graph is a path that traverses each edge exactly once, but not necessarily every node. The starting node and ending node may be different. ","[<3>, <2>, <4>, <2>, <1>, <3>, <0>, <1>, <2>, <0>, <4>]",14
euler_path,"[(<5>, <0>), (<5>, <3>), (<5>, <1>), (<5>, <4>), (<0>, <3>), (<0>, <4>), (<0>, <1>), (<3>, <1>), (<3>, <4>), (<1>, <2>), (<1>, <4>), (<4>, <2>)]","{<5>: [<0>, <3>, <1>, <4>],
<0>: [<5>, <3>, <4>, <1>],
<3>: [<5>, <0>, <1>, <4>],
<1>: [<5>, <0>, <2>, <3>, <4>],
<4>: [<5>, <0>, <2>, <1>, <3>],
<2>: [<1>, <4>]}","Node <5> is connected to nodes <0>, <3>, <1>, <4>.
Node <0> is connected to nodes <5>, <3>, <4>, <1>.
Node <3> is connected to nodes <5>, <0>, <1>, <4>.
Node <1> is connected to nodes <5>, <0>, <2>, <3>, <4>.
Node <4> is connected to nodes <5>, <0>, <2>, <1>, <3>.
Node <2> is connected to nodes <1>, <4>.","[<0>, <1>, <2>, <3>, <4>, <5>]",6,12,False,"Find a Euler path in this graph. An Euler path in a graph is a path that traverses each edge exactly once, but not necessarily every node. The starting node and ending node may be different. ","[<1>, <4>, <2>, <1>, <3>, <5>, <4>, <3>, <0>, <1>, <5>, <0>, <4>]",15
euler_path,"[(<5>, <4>), (<5>, <0>), (<4>, <3>), (<4>, <2>), (<4>, <1>), (<0>, <3>), (<3>, <5>), (<3>, <1>), (<2>, <4>), (<1>, <5>), (<1>, <4>), (<1>, <0>)]","{<5>: [<4>, <0>],
<4>: [<3>, <2>, <1>],
<0>: [<3>],
<3>: [<5>, <1>],
<2>: [<4>],
<1>: [<5>, <4>, <0>]}","Node <5> is connected to nodes <4>, <0>.
Node <4> is connected to nodes <3>, <2>, <1>.
Node <0> is connected to node <3>.
Node <3> is connected to nodes <5>, <1>.
Node <2> is connected to node <4>.
Node <1> is connected to nodes <5>, <4>, <0>.","[<0>, <1>, <2>, <3>, <4>, <5>]",6,12,True,"Find a Euler path in this graph. An Euler path in a graph is a path that traverses each edge exactly once, but not necessarily every node. The starting node and ending node may be different. ","[<1>, <4>, <2>, <4>, <3>, <1>, <0>, <3>, <5>, <4>, <1>, <5>, <0>]",16
euler_path,"[(<4>, <6>), (<4>, <2>), (<4>, <5>), (<4>, <0>), (<6>, <3>), (<6>, <5>), (<6>, <2>), (<6>, <1>), (<6>, <0>), (<2>, <3>), (<2>, <5>), (<5>, <0>), (<0>, <3>), (<0>, <1>)]","{<4>: [<6>, <2>, <5>, <0>],
<6>: [<4>, <3>, <5>, <2>, <1>, <0>],
<2>: [<4>, <6>, <3>, <5>],
<5>: [<4>, <6>, <0>, <2>],
<0>: [<4>, <6>, <3>, <1>, <5>],
<3>: [<6>, <0>, <2>],
<1>: [<6>, <0>]}","Node <4> is connected to nodes <6>, <2>, <5>, <0>.
Node <6> is connected to nodes <4>, <3>, <5>, <2>, <1>, <0>.
Node <2> is connected to nodes <4>, <6>, <3>, <5>.
Node <5> is connected to nodes <4>, <6>, <0>, <2>.
Node <0> is connected to nodes <4>, <6>, <3>, <1>, <5>.
Node <3> is connected to nodes <6>, <0>, <2>.
Node <1> is connected to nodes <6>, <0>.","[<0>, <1>, <2>, <3>, <4>, <5>, <6>]",7,14,False,"Find a Euler path in this graph. An Euler path in a graph is a path that traverses each edge exactly once, but not necessarily every node. The starting node and ending node may be different. ","[<0>, <5>, <4>, <6>, <2>, <5>, <6>, <1>, <0>, <3>, <2>, <4>, <0>, <6>, <3>]",17
euler_path,"[(<4>, <2>), (<4>, <0>), (<2>, <0>), (<2>, <4>), (<2>, <1>), (<0>, <1>), (<1>, <2>), (<1>, <3>), (<1>, <4>), (<3>, <2>)]","{<4>: [<2>, <0>],
<2>: [<0>, <4>, <1>],
<0>: [<1>],
<1>: [<2>, <3>, <4>],
<3>: [<2>]}","Node <4> is connected to nodes <2>, <0>.
Node <2> is connected to nodes <0>, <4>, <1>.
Node <0> is connected to node <1>.
Node <1> is connected to nodes <2>, <3>, <4>.
Node <3> is connected to node <2>.","[<0>, <1>, <2>, <3>, <4>]",5,10,True,"Find a Euler path in this graph. An Euler path in a graph is a path that traverses each edge exactly once, but not necessarily every node. The starting node and ending node may be different. ","[<1>, <4>, <2>, <4>, <0>, <1>, <3>, <2>, <1>, <2>, <0>]",18
euler_path,"[(<5>, <6>), (<5>, <3>), (<6>, <2>), (<6>, <1>), (<6>, <3>), (<3>, <4>), (<3>, <5>), (<2>, <6>), (<2>, <5>), (<2>, <1>), (<1>, <2>), (<1>, <0>), (<4>, <2>), (<4>, <6>)]","{<5>: [<6>, <3>],
<6>: [<2>, <1>, <3>],
<3>: [<4>, <5>],
<2>: [<6>, <5>, <1>],
<1>: [<2>, <0>],
<0>: [],
<4>: [<2>, <6>]}","Node <5> is connected to nodes <6>, <3>.
Node <6> is connected to nodes <2>, <1>, <3>.
Node <3> is connected to nodes <4>, <5>.
Node <2> is connected to nodes <6>, <5>, <1>.
Node <1> is connected to nodes <2>, <0>.
Node <4> is connected to nodes <2>, <6>.","[<0>, <1>, <2>, <3>, <4>, <5>, <6>]",7,14,True,"Find a Euler path in this graph. An Euler path in a graph is a path that traverses each edge exactly once, but not necessarily every node. The starting node and ending node may be different. ","[<4>, <2>, <1>, <2>, <6>, <2>, <5>, <3>, <4>, <6>, <3>, <5>, <6>, <1>, <0>]",19
euler_path,"[(<1>, <4>), (<1>, <2>), (<4>, <2>), (<2>, <3>), (<2>, <0>), (<3>, <0>)]","{<1>: [<4>, <2>],
<4>: [<1>, <2>],
<2>: [<1>, <4>, <3>, <0>],
<3>: [<2>, <0>],
<0>: [<2>, <3>]}","Node <1> is connected to nodes <4>, <2>.
Node <4> is connected to nodes <1>, <2>.
Node <2> is connected to nodes <1>, <4>, <3>, <0>.
Node <3> is connected to nodes <2>, <0>.
Node <0> is connected to nodes <2>, <3>.","[<0>, <1>, <2>, <3>, <4>]",5,6,False,"Find a Euler path in this graph. An Euler path in a graph is a path that traverses each edge exactly once, but not necessarily every node. The starting node and ending node may be different. ","[<2>, <1>, <4>, <2>, <0>, <3>, <2>]",20
euler_path,"[(<3>, <2>), (<3>, <1>), (<3>, <0>), (<3>, <4>), (<2>, <1>), (<2>, <4>), (<2>, <0>), (<1>, <4>), (<1>, <0>), (<0>, <4>)]","{<3>: [<2>, <1>, <0>, <4>],
<2>: [<3>, <1>, <4>, <0>],
<1>: [<3>, <2>, <4>, <0>],
<0>: [<3>, <2>, <1>, <4>],
<4>: [<3>, <2>, <1>, <0>]}","Node <3> is connected to nodes <2>, <1>, <0>, <4>.
Node <2> is connected to nodes <3>, <1>, <4>, <0>.
Node <1> is connected to nodes <3>, <2>, <4>, <0>.
Node <0> is connected to nodes <3>, <2>, <1>, <4>.
Node <4> is connected to nodes <3>, <2>, <1>, <0>.","[<0>, <1>, <2>, <3>, <4>]",5,10,False,"Find a Euler path in this graph. An Euler path in a graph is a path that traverses each edge exactly once, but not necessarily every node. The starting node and ending node may be different. ","[<3>, <2>, <4>, <3>, <0>, <4>, <1>, <2>, <0>, <1>, <3>]",21
euler_path,"[(<2>, <3>), (<2>, <0>), (<2>, <1>), (<3>, <4>), (<3>, <2>), (<0>, <4>), (<0>, <5>), (<4>, <2>), (<4>, <5>), (<4>, <3>), (<5>, <2>), (<5>, <0>)]","{<2>: [<3>, <0>, <1>],
<3>: [<4>, <2>],
<0>: [<4>, <5>],
<1>: [],
<4>: [<2>, <5>, <3>],
<5>: [<2>, <0>]}","Node <2> is connected to nodes <3>, <0>, <1>.
Node <3> is connected to nodes <4>, <2>.
Node <0> is connected to nodes <4>, <5>.
Node <4> is connected to nodes <2>, <5>, <3>.
Node <5> is connected to nodes <2>, <0>.","[<0>, <1>, <2>, <3>, <4>, <5>]",6,12,True,"Find a Euler path in this graph. An Euler path in a graph is a path that traverses each edge exactly once, but not necessarily every node. The starting node and ending node may be different. ","[<4>, <5>, <0>, <5>, <2>, <3>, <2>, <0>, <4>, <3>, <4>, <2>, <1>]",22
euler_path,"[(<3>, <1>), (<3>, <5>), (<1>, <4>), (<1>, <0>), (<1>, <3>), (<5>, <1>), (<4>, <2>), (<4>, <0>), (<0>, <3>), (<0>, <1>), (<0>, <4>), (<2>, <0>)]","{<3>: [<1>, <5>],
<1>: [<4>, <0>, <3>],
<5>: [<1>],
<4>: [<2>, <0>],
<0>: [<3>, <1>, <4>],
<2>: [<0>]}","Node <3> is connected to nodes <1>, <5>.
Node <1> is connected to nodes <4>, <0>, <3>.
Node <5> is connected to node <1>.
Node <4> is connected to nodes <2>, <0>.
Node <0> is connected to nodes <3>, <1>, <4>.
Node <2> is connected to node <0>.","[<0>, <1>, <2>, <3>, <4>, <5>]",6,12,True,"Find a Euler path in this graph. An Euler path in a graph is a path that traverses each edge exactly once, but not necessarily every node. The starting node and ending node may be different. ","[<1>, <3>, <1>, <4>, <0>, <4>, <2>, <0>, <1>, <0>, <3>, <5>, <1>]",23
euler_path,"[(<2>, <3>), (<2>, <4>), (<3>, <0>), (<4>, <1>), (<4>, <2>), (<4>, <0>), (<0>, <4>), (<0>, <2>), (<0>, <3>), (<1>, <0>)]","{<2>: [<3>, <4>],
<3>: [<0>],
<4>: [<1>, <2>, <0>],
<0>: [<4>, <2>, <3>],
<1>: [<0>]}","Node <2> is connected to nodes <3>, <4>.
Node <3> is connected to node <0>.
Node <4> is connected to nodes <1>, <2>, <0>.
Node <0> is connected to nodes <4>, <2>, <3>.
Node <1> is connected to node <0>.","[<0>, <1>, <2>, <3>, <4>]",5,10,True,"Find a Euler path in this graph. An Euler path in a graph is a path that traverses each edge exactly once, but not necessarily every node. The starting node and ending node may be different. ","[<4>, <1>, <0>, <3>, <0>, <4>, <0>, <2>, <4>, <2>, <3>]",24
euler_path,"[(<3>, <2>), (<3>, <0>), (<2>, <5>), (<2>, <0>), (<2>, <4>), (<0>, <5>), (<0>, <4>), (<0>, <6>), (<0>, <1>), (<4>, <1>), (<4>, <6>)]","{<3>: [<2>, <0>],
<2>: [<3>, <5>, <0>, <4>],
<0>: [<3>, <2>, <5>, <4>, <6>, <1>],
<5>: [<2>, <0>],
<4>: [<2>, <0>, <1>, <6>],
<6>: [<0>, <4>],
<1>: [<0>, <4>]}","Node <3> is connected to nodes <2>, <0>.
Node <2> is connected to nodes <3>, <5>, <0>, <4>.
Node <0> is connected to nodes <3>, <2>, <5>, <4>, <6>, <1>.
Node <5> is connected to nodes <2>, <0>.
Node <4> is connected to nodes <2>, <0>, <1>, <6>.
Node <6> is connected to nodes <0>, <4>.
Node <1> is connected to nodes <0>, <4>.","[<0>, <1>, <2>, <3>, <4>, <5>, <6>]",7,11,False,"Find a Euler path in this graph. An Euler path in a graph is a path that traverses each edge exactly once, but not necessarily every node. The starting node and ending node may be different. ","[<0>, <5>, <2>, <4>, <1>, <0>, <3>, <2>, <0>, <4>, <6>, <0>]",25
euler_path,"[(<1>, <3>), (<3>, <2>), (<3>, <4>), (<3>, <5>), (<2>, <0>), (<2>, <5>), (<4>, <3>), (<4>, <5>), (<5>, <1>), (<5>, <0>), (<5>, <2>), (<0>, <4>)]","{<1>: [<3>],
<3>: [<2>, <4>, <5>],
<2>: [<0>, <5>],
<4>: [<3>, <5>],
<5>: [<1>, <0>, <2>],
<0>: [<4>]}","Node <1> is connected to node <3>.
Node <3> is connected to nodes <2>, <4>, <5>.
Node <2> is connected to nodes <0>, <5>.
Node <4> is connected to nodes <3>, <5>.
Node <5> is connected to nodes <1>, <0>, <2>.
Node <0> is connected to node <4>.","[<0>, <1>, <2>, <3>, <4>, <5>]",6,12,True,"Find a Euler path in this graph. An Euler path in a graph is a path that traverses each edge exactly once, but not necessarily every node. The starting node and ending node may be different. ","[<3>, <2>, <5>, <0>, <4>, <3>, <4>, <5>, <1>, <3>, <5>, <2>, <0>]",26
